Origine;Type tarif;Prix
LA TRINITE VICTOR;Tarif normal;12.0
DRAP CANTARON;Tarif normal;15.4
CANNES;Tarif normal;13.4
EZE;Tarif normal;7.9
GOLFE JUAN VALLAURIS;Tarif normal;15.7
GOLFE JUAN VALLAURIS;Tarif normal;10.2
ANTIBES;Tarif normal;16.5
CANNES LA BOCCA;Tarif normal;6.9
CANNES;Tarif normal;13.8
GRASSE;Tarif normal;9.1
BIOT;Tarif normal;38.5
ST RAPHAEL VALESCURE;Tarif normal;23.8
GRASSE;Tarif normal;8.4
GRASSE;Tarif normal;9.8
RANGUIN;Tarif normal;9.1
AVIGNON CENTRE;Tarif normal;6.9
MOUANS-SARTOUX;Tarif normal;6.9
TARASCON SUR RHONE;Tarif normal;7.9
MARSEILLE ST CHARLES;Tarif normal;12.3
ASPRES SUR BUECH;Tarif normal;3.2
MENTON;Tarif normal;5.9
MARSEILLE ST CHARLES;Tarif normal;36.3
CARPENTRAS;Tarif normal;48.6
SERRES;Tarif normal;10.4
MANDELIEU LA NAPOULE;Tarif normal;8.6
AIX EN PROVENCE;Tarif normal;33.7
L'ESTAQUE;Tarif normal;31.8
VINTIMILLE SNCF;Abonnement tout public;52.7
AUBAGNE;Tarif normal;13.6
CANNES LA BOCCA;Tarif normal;6.0
MARSEILLE ST CHARLES;Abonnement tout public;155.9
